Control,Buffer,Temperatura,Placa,Fecha,DO
+,Coatting,TA,1,8/6/2022,1.044
+,Coatting,h,1,8/6/2022,1.0936
+,Coatting,f,1,8/6/2022,1.2097
+,Citrato,TA,1,8/6/2022,1.3233
+,Citrato,h,1,8/6/2022,1.2569
+,Citrato,f,1,8/6/2022,1.3875
+,Suero,TA,1,8/6/2022,2.1581
+,Suero,h,1,8/6/2022,1.4552
+,Suero,f,1,8/6/2022,1.3187
+,Conjugado,TA,1,8/6/2022,1.1414
+,Conjugado,h,1,8/6/2022,1.219
+,Conjugado,f,1,8/6/2022,0.9377
+,Coatting,TA,1,8/6/2022,0.9403
+,Coatting,h,1,8/6/2022,0.8743
+,Coatting,f,1,8/6/2022,1.0115
+,Citrato,TA,1,8/6/2022,1.0939
+,Citrato,h,1,8/6/2022,0.9539
+,Citrato,f,1,8/6/2022,1.2339
+,Suero,TA,1,8/6/2022,2.0383
+,Suero,h,1,8/6/2022,1.3782
+,Suero,f,1,8/6/2022,1.1688
+,Conjugado,TA,1,8/6/2022,1.089
+,Conjugado,h,1,8/6/2022,1.0486
+,Conjugado,f,1,8/6/2022,1.0841
-,Coatting,TA,1,8/6/2022,0.2109
-,Coatting,h,1,8/6/2022,0.1945
-,Coatting,f,1,8/6/2022,0.1946
-,Citrato,TA,1,8/6/2022,0.3506
-,Citrato,h,1,8/6/2022,0.2663
-,Citrato,f,1,8/6/2022,0.2725
-,Suero,TA,1,8/6/2022,0.4743
-,Suero,h,1,8/6/2022,0.4134
-,Suero,f,1,8/6/2022,0.4809
-,Conjugado,TA,1,8/6/2022,0.2551
-,Conjugado,h,1,8/6/2022,0.2654
-,Conjugado,f,1,8/6/2022,0.2557
-,Coatting,TA,1,8/6/2022,0.2005
-,Coatting,h,1,8/6/2022,0.1913
-,Coatting,f,1,8/6/2022,0.1799
-,Citrato,TA,1,8/6/2022,0.3091
-,Citrato,h,1,8/6/2022,0.2163
-,Citrato,f,1,8/6/2022,0.2293
-,Suero,TA,1,8/6/2022,0.4627
-,Suero,h,1,8/6/2022,0.3206
-,Suero,f,1,8/6/2022,0.3964
-,Conjugado,TA,1,8/6/2022,0.2493
-,Conjugado,h,1,8/6/2022,0.2408
-,Conjugado,f,1,8/6/2022,0.2497
+,Coatting,TA,1,10/6/2022,1.0239
+,Coatting,h,1,10/6/2022,1.0357
+,Coatting,f,1,10/6/2022,1.0287
+,Citrato,TA,1,10/6/2022,1.01
+,Citrato,h,1,10/6/2022,1.0929
+,Citrato,f,1,10/6/2022,1.0896
+,Suero,TA,1,10/6/2022,0.9769
+,Suero,h,1,10/6/2022,1.0846
+,Suero,f,1,10/6/2022,0.8779
+,Conjugado,TA,1,10/6/2022,1.2339
+,Conjugado,h,1,10/6/2022,1.1621
+,Conjugado,f,1,10/6/2022,0.8848
+,Coatting,TA,1,10/6/2022,1.0336
+,Coatting,h,1,10/6/2022,1.0082
+,Coatting,f,1,10/6/2022,0.974
